frequency [Hz],synthHD Pro power [dBm],det power [dBm]
10156000000.0,5.0,6.521706999999999
10234000000.0,-30.0,-27.385321999999995
10234000000.0,-29.3,-26.91434
10234000000.0,-28.6,-26.434188
10234000000.0,-27.9,-25.90217
10234000000.0,-27.2,-25.355442
10234000000.0,-26.5,-24.791435999999997
10234000000.0,-25.8,-24.237588
10234000000.0,-25.1,-23.729408
10234000000.0,-24.4,-23.162957999999996
10234000000.0,-23.7,-22.448898000000003
10234000000.0,-23.0,-21.74352
10234000000.0,-22.3,-21.13552
10234000000.0,-21.6,-20.534214
10234000000.0,-20.9,-19.953858
10234000000.0,-20.200000000000003,-19.353152
10234000000.0,-19.5,-18.693552
10234000000.0,-18.8,-17.978431999999998
10234000000.0,-18.1,-17.240834
10234000000.0,-17.4,-16.53209
10234000000.0,-16.700000000000003,-15.86082
10234000000.0,-16.0,-15.179303999999998
10234000000.0,-15.3,-14.46633
10234000000.0,-14.600000000000001,-13.70944
10234000000.0,-13.900000000000002,-12.939974000000001
10234000000.0,-13.200000000000003,-12.165781999999998
10234000000.0,-12.5,-11.43408
10234000000.0,-11.8,-10.69693
10234000000.0,-11.100000000000001,-9.957763199999999
10234000000.0,-10.400000000000002,-9.2112606
10234000000.0,-9.700000000000003,-8.456914000000001
10234000000.0,-9.0,-7.704116000000001
10234000000.0,-8.3,-6.965015799999999
10234000000.0,-7.600000000000001,-6.2872688
10234000000.0,-6.900000000000002,-5.619815399999999
10234000000.0,-6.200000000000003,-4.9526344
10234000000.0,-5.5,-4.2710236
10234000000.0,-4.800000000000001,-3.5439257999999993
10234000000.0,-4.100000000000001,-2.8140760000000005
10234000000.0,-3.400000000000002,-2.0887026
10234000000.0,-2.700000000000003,-1.3591576
10234000000.0,-2.0,-0.6198425200000001
10234000000.0,-1.3000000000000007,0.11667898000000002
10234000000.0,-0.6000000000000014,0.877656
10234000000.0,0.09999999999999787,1.6268694
10234000000.0,0.7999999999999972,2.361953
10234000000.0,1.4999999999999964,3.0733798
10234000000.0,2.1999999999999957,3.7883066
10234000000.0,2.8999999999999986,4.512258
10234000000.0,3.5999999999999943,5.2852201999999995
10234000000.0,4.299999999999997,6.009602
10234000000.0,5.0,6.701705200000001
10312000000.0,-30.0,-27.168746
10312000000.0,-29.3,-26.70419
10312000000.0,-28.6,-26.229438
10312000000.0,-27.9,-25.700792
10312000000.0,-27.2,-25.15858
10312000000.0,-26.5,-24.602944
10312000000.0,-25.8,-24.057954000000002
10312000000.0,-25.1,-23.553562
10312000000.0,-24.4,-22.994093999999997
10312000000.0,-23.7,-22.28704
10312000000.0,-23.0,-21.587798
10312000000.0,-22.3,-20.982874
10312000000.0,-21.6,-20.380038000000003
10312000000.0,-20.9,-19.80445
10312000000.0,-20.200000000000003,-19.211106
10312000000.0,-19.5,-18.55834
10312000000.0,-18.8,-17.845695999999997
10312000000.0,-18.1,-17.108382
10312000000.0,-17.4,-16.401391999999998
10312000000.0,-16.700000000000003,-15.729291999999997
10312000000.0,-16.0,-15.04886
10312000000.0,-15.3,-14.339099999999998
10312000000.0,-14.600000000000001,-13.582388
10312000000.0,-13.900000000000002,-12.814042
10312000000.0,-13.200000000000003,-12.043339999999999
10312000000.0,-12.5,-11.309785999999999
10312000000.0,-11.8,-10.57106
10312000000.0,-11.100000000000001,-9.8275014
10312000000.0,-10.400000000000002,-9.075980999999999
10312000000.0,-9.700000000000003,-8.3182062
10312000000.0,-9.0,-7.5647434
10312000000.0,-8.3,-6.8194374
10312000000.0,-7.600000000000001,-6.138888400000001
10312000000.0,-6.900000000000002,-5.4676004
10312000000.0,-6.200000000000003,-4.8003926
10312000000.0,-5.5,-4.110702999999999
10312000000.0,-4.800000000000001,-3.3857923999999997
10312000000.0,-4.100000000000001,-2.6505739999999998
