frequency [Hz],synthHD Pro power [dBm],det power [dBm]
10702000000.0,-15.3,-13.6898
10702000000.0,-14.600000000000001,-12.92226
10702000000.0,-13.900000000000002,-12.182374
10702000000.0,-13.200000000000003,-11.445812
10702000000.0,-12.5,-10.689271999999999
10702000000.0,-11.8,-9.8971278
10702000000.0,-11.100000000000001,-9.0618358
10702000000.0,-10.400000000000002,-8.2410908
10702000000.0,-9.700000000000003,-7.461969400000001
10702000000.0,-9.0,-6.7192368
10702000000.0,-8.3,-5.9744478
10702000000.0,-7.600000000000001,-5.2277534
10702000000.0,-6.900000000000002,-4.482281
10702000000.0,-6.200000000000003,-3.7372395999999997
10702000000.0,-5.5,-3.0012901999999997
10702000000.0,-4.800000000000001,-2.2626662000000004
10702000000.0,-4.100000000000001,-1.5348944
10702000000.0,-3.400000000000002,-0.8030131
10702000000.0,-2.700000000000003,-0.039446494000000006
10702000000.0,-2.0,0.7105702399999999
10702000000.0,-1.3000000000000007,1.4438468
10702000000.0,-0.6000000000000014,2.1626052000000002
10702000000.0,0.09999999999999787,2.8585104
10702000000.0,0.7999999999999972,3.5503782
10702000000.0,1.4999999999999964,4.306622
10702000000.0,2.1999999999999957,5.0302838
10702000000.0,2.8999999999999986,5.7186396
10702000000.0,3.5999999999999943,6.3669538
10702000000.0,4.299999999999997,7.0096457999999995
10702000000.0,5.0,7.715361799999999
10780000000.0,-30.0,-28.332382000000003
10780000000.0,-29.3,-27.791474000000004
10780000000.0,-28.6,-27.222126000000003
10780000000.0,-27.9,-26.609172
10780000000.0,-27.2,-25.998382
10780000000.0,-26.5,-25.385344
10780000000.0,-25.8,-24.761741999999998
10780000000.0,-25.1,-24.12238
10780000000.0,-24.4,-23.459564
10780000000.0,-23.7,-22.770602000000004
10780000000.0,-23.0,-22.047142
10780000000.0,-22.3,-21.2892
10780000000.0,-21.6,-20.570004
10780000000.0,-20.9,-19.937503999999997
10780000000.0,-20.200000000000003,-19.083204
10780000000.0,-19.5,-18.253534
10780000000.0,-18.8,-17.574328
10780000000.0,-18.1,-16.874696
10780000000.0,-17.4,-16.099404
10780000000.0,-16.700000000000003,-15.245946
10780000000.0,-16.0,-14.407066
10780000000.0,-15.3,-13.655064000000001
10780000000.0,-14.600000000000001,-12.882144
10780000000.0,-13.900000000000002,-12.137012000000002
10780000000.0,-13.200000000000003,-11.400764
10780000000.0,-12.5,-10.644214
10780000000.0,-11.8,-9.8546698
10780000000.0,-11.100000000000001,-9.010999799999999
10780000000.0,-10.400000000000002,-8.1805518
