vg1 [V],vg2 [V],det power [dBm],amp current [A],amp power [W]
1.425,1.225,1.2630060000000007,0.06,0.36
1.425,1.2,3.7490740000000002,0.09,0.54
1.425,1.175,6.622052000000002,0.12,0.72
1.425,1.15,8.95316,0.16,0.96
1.425,1.125,11.353175199999999,0.21,1.26
1.425,1.1,13.441820400000001,0.26,1.56
1.425,1.075,15.353192,0.32,1.92
1.425,1.05,16.6507506,0.38,2.28
1.425,1.025,17.9398944,0.44,2.64
1.425,1.0,19.09505214,0.51,3.06
1.425,0.975,20.11755754,0.57,3.42
1.425,0.95,21.00923874,0.64,3.84
1.425,0.9249999999999999,21.8230398,0.71,4.26
1.425,0.8999999999999999,22.4977946,0.79,4.74
1.425,0.875,23.2112108,0.86,5.16
1.425,0.85,23.7103638,0.94,5.64
1.425,0.825,24.1478184,1.02,6.12
1.425,0.7999999999999999,24.5830954,1.1,6.6
1.425,0.7749999999999999,24.919913,1.19,7.14
1.425,0.75,25.227371599999998,1.27,7.62
1.425,0.725,25.4507652,1.36,8.16
1.425,0.7,25.754859,1.46,8.76
1.425,0.6749999999999999,25.9705028,1.56,9.36
1.425,0.6499999999999999,26.142577799999998,1.66,9.96
1.425,0.625,26.313775800000002,1.76,10.56
1.425,0.6,26.444722,1.87,11.22
1.425,0.575,26.5563624,1.98,11.88
1.425,0.5499999999999999,26.6529162,2.09,12.54
1.425,0.5249999999999999,26.722708,2.2,13.2
1.425,0.5,26.7855072,2.31,13.86
1.4,1.5,4.845202180000001,0.01,0.06
1.4,1.475,-7.1139839999999985,0.01,0.06
1.4,1.45,-6.871266000000002,0.01,0.06
1.4,1.425,-6.577041999999999,0.01,0.06
1.4,1.4,-6.249153999999997,0.01,0.06
1.4,1.375,-5.767668000000004,0.02,0.12
1.4,1.35,-5.218018000000001,0.02,0.12
1.4,1.325,-4.525925999999998,0.02,0.12
1.4,1.3,-3.834272000000002,0.03,0.18
1.4,1.275,-2.4634260000000054,0.03,0.18
1.4,1.25,-0.8291159999999991,0.05,0.3
1.4,1.225,1.114758000000002,0.06,0.36
1.4,1.2,4.258202000000001,0.09,0.54
1.4,1.175,6.393683999999999,0.12,0.72
1.4,1.15,8.958957999999999,0.16,0.96
1.4,1.125,11.3516458,0.21,1.26
1.4,1.1,13.8248162,0.26,1.56
1.4,1.075,15.1531492,0.32,1.92
1.4,1.05,16.6534936,0.38,2.28
1.4,1.025,17.9386568,0.44,2.64
1.4,1.0,19.32266766,0.51,3.06
1.4,0.975,20.11245624,0.57,3.42
1.4,0.95,21.0091714,0.64,3.84
1.4,0.9249999999999999,21.822691,0.71,4.26
1.4,0.8999999999999999,22.688484199999998,0.79,4.74
1.4,0.875,23.165415199999998,0.86,5.16
1.4,0.85,23.7087954,0.94,5.64
1.4,0.825,24.2718418,1.02,6.12
1.4,0.7999999999999999,24.5685456,1.1,6.6
1.4,0.7749999999999999,24.9195882,1.19,7.14
1.4,0.75,25.2273152,1.27,7.62
1.4,0.725,25.565302,1.37,8.22
1.4,0.7,25.755831999999998,1.46,8.76
1.4,0.6749999999999999,25.9718368,1.56,9.36
1.4,0.6499999999999999,26.201321,1.66,9.96
1.4,0.625,26.3157034,1.76,10.56
1.4,0.6,26.4462736,1.87,11.22
1.4,0.575,26.557856,1.98,11.88
